task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task8_5j6_b9ru,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9925051207249705,0.8116071428571429,100.0,True,224309.0,9.0,317.18671011924744,,,,,,,,
task13__rjs495o,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,287158.0,10.0,899.4502611160278,,,,,,,,
task10_zpdsucys,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,5,3,0,0.625,1.0,0.625,,,0.860545589969586,0.7556186868686868,62.5,False,23564.0,3.0,61.6658890247345,,,,,,,,
task16_pihzicrh,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,6,0,0,1.0,1.0,1.0,0.031013307717259728,0.9999999981298452,0.998805164173546,0.9722222222222222,100.0,True,19085.0,3.0,60.08795785903931,,,,,,,,
task9_c45z1pca,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,76113.0,6.0,134.55913710594177,,,,,,,,
task6_0ikwl1i6,16111,16111,16111,1.0,7,8,7,0,7,0,1,1.0,7,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,18926.0,3.0,45.37403607368469,,,,,,,,
task19_v092teyt,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,13914.0,4.0,29.55539584159851,,,,,,,,
task4_jfvwvk26,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,16635.0,3.0,209.58374404907227,,,,,,,,
task3_91a20r48,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9987586121283595,0.75,100.0,True,19671.0,4.0,79.57191872596741,,,,,,,,
task14_jwekh922,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,9,7,0,0.5625,1.0,0.5625,,,0.9615480106759356,0.8443395146520146,56.25,False,805362.0,18.0,325.52514600753784,,,,,,,,
task15_z2a031l4,16111,9408,9408,0.5839488548196884,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,34116.0,7.0,93.5682122707367,,,,,,,,
task11_n3x7413p,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,21693.0,3.0,92.91743206977844,,,,,,,,
task18_q9mi21m3,16111,14586,14586,0.9053441747874124,8,8,8,4,4,0,0,1.0,8,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,True,342726.0,10.0,307.69278621673584,,,,,,,,
task17_hycd2fvv,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,25046.0,4.0,108.19959282875061,,,,,,,,
task12_3fajtfci,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,6,0,0,1.0,1.0,1.0,,,0.9978068814267685,0.9901960784313726,100.0,True,107129.0,9.0,168.70704698562622,,,,,,,,
task5_6uxxze01,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9983986096455837,0.975,100.0,True,41583.0,5.0,109.79293489456177,,,,,,,,
task2_9sz24aj1,16111,16111,16111,1.0,1,6,1,0,1,0,5,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,29110.0,4.0,112.31142210960388,,,,,,,,
task1_cx8dm32q,16111,16111,16111,1.0,1,9,1,0,1,0,8,1.0,1,0,0,1.0,1.0,1.0,,,0.9947241015455279,1.0,100.0,True,36985.0,4.0,123.86181998252869,,,,,,,,
task20_cmq2e21z,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,84145.0,6.0,291.28649973869324,,,,,,,,
task7_5kl3v9ym,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9960027310533176,0.7609523809523809,100.0,True,78857.0,4.0,233.0246078968048,,,,,,,,
AGGREGATE,322220,313992,313992,0.974464651480355,102,116,102,8,94,0,14,1.0,92,10,0,0.9019607843137255,1.0,0.9019607843137255,0.007753326929314932,0.9999999995324613,0.9807096248499437,0.9261769953728649,,,,,,95.9375,18.0,2306127.0,115306.35,119.0,5.95,3803.9225509166718,190.19612754583358
