task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task19_abj1g2ot,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,10772.0,3.0,34.68237590789795,,,,,,,,
task14_5ktvcg7o,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,16,0,0,1.0,1.0,1.0,,,0.9849947241015455,0.957760989010989,100.0,True,101822.0,7.0,384.06023931503296,,,,,,,,
task18_xw67vxtn,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,4,4,0,0.5,1.0,0.5,,,0.7276162249394823,0.5105882352941177,50.0,False,145847.0,7.0,354.8251848220825,,,,,,,,
task6_m09_xh9p,16111,16111,16111,1.0,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,109999.0,7.0,285.5487790107727,,,,,,,,
task4_tjryv_75,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,36307.0,5.0,210.79548573493958,,,,,,,,
task7_zpum0kt9,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,4,1,0,0.8,1.0,0.8,,,0.8869219787722674,0.6966233766233766,80.0,False,132856.0,6.0,691.4473872184753,,,,,,,,
task11_iz0avwx4,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,187331.0,13.0,378.5400695800781,,,,,,,,
task2_pm1oe7ju,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9998137918192539,0.8947368421052632,100.0,True,17027.0,3.0,54.32076168060303,,,,,,,,
task1_8gwfxcol,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,32876.0,4.0,157.3148694038391,,,,,,,,
task17_dog5pzjr,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,333427.0,6.0,259.12328362464905,,,,,,,,
task5_hmfyf7gh,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,153579.0,9.0,367.3954977989197,,,,,,,,
task9_c3xxgg9_,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9768170814971138,1.0,100.0,True,98689.0,8.0,198.93695664405823,,,,,,,,
task20_vjk78o_4,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.977282601948979,0.9,100.0,True,37149.0,4.0,200.04977869987488,,,,,,,,
task3_aq0v9t35,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9986965427347775,0.625,100.0,True,21205.0,4.0,62.0284481048584,,,,,,,,
task8_k0pm0vak,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.989851654149339,0.8869047619047619,100.0,True,457876.0,15.0,1455.4634246826172,,,,,,,,
task16_955v_pcl,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,6,0,0,1.0,1.0,1.0,0.29400474744635086,0.9999997665295899,0.9979672273601887,0.9861111111111112,100.0,True,,,,,,,,,,,
task12_1zbhf0a0,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,6,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,684725.0,10.0,654.1025884151459,,,,,,,,
task13_6njqulr9,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,0.9967413568369438,0.9177777777777777,100.0,True,78837.0,6.0,153.74581050872803,,,,,,,,
task10_48dbzfl7,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,0.9821472906709702,0.7563131313131313,100.0,True,184499.0,6.0,254.54375863075256,,,,,,,,
task15_2fif9lsn,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,67831.0,5.0,139.81788682937622,,,,,,,,
AGGREGATE,322220,322220,322220,1.0,102,102,102,4,98,0,0,1.0,97,5,0,0.9509803921568627,1.0,0.9509803921568627,0.14700237372317543,0.9999998832647949,0.9660651424619255,0.8982865484907882,,,,,,96.5,18.0,2892654.0,152244.94736842104,128.0,6.7368421052631575,6296.742586612701,331.40750455856323
