task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task19_d_7rec2s,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,10009.0,3.0,128.32703709602356,,,,,,,,
task20_h375v7pf,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9565514244925827,1.0,100.0,True,19083.0,3.0,128.465430021286,,,,,,,,
task15_kku4epsa,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,11962.0,3.0,53.69174790382385,,,,,,,,
task13_j7vpaiur,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,0,10,0,0.0,1.0,0.0,,,0.6027745018931165,0.5142857142857142,0.0,False,43073.0,4.0,46.748610973358154,,,,,,,,
task7_nq5bij9m,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,1,4,0,0.2,1.0,0.2,,,0.7246105145552728,0.33285714285714285,20.0,False,37634.0,3.0,67.28562998771667,,,,,,,,
task17_qvs4fj0m,16111,15873,15873,0.9852274843274781,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,23759.0,4.0,3997.9053950309753,,,,,,,,
task9_y72qznw4,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,1,3,0,0.25,1.0,0.25,,,0.5405313140090622,0.5089285714285714,25.0,False,26635.0,4.0,132.50021719932556,,,,,,,,
task2_i9gwrs7j,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,16960.0,3.0,34.730143308639526,,,,,,,,
task4_mgch1b27,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,15369.0,3.0,27.749022245407104,,,,,,,,
task5_lp0qerg8,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9986593010986283,0.8531468531468531,100.0,True,13839.0,3.0,19.069969177246094,,,,,,,,
task6_0a_pdfna,16111,15930,15930,0.9887654397616535,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,0.9991749618868263,0.9285714285714286,100.0,True,30782.0,4.0,70.1329140663147,,,,,,,,
task10_mc7twy6o,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,0.9981379181925393,1.0,100.0,True,19378.0,3.0,41.699151039123535,,,,,,,,
task18_b7_d_o55,16111,16111,16111,1.0,8,8,8,4,4,0,0,1.0,4,4,0,0.5,1.0,0.5,5.536449788675083,0.8848145813608685,0.9959344547203774,0.9411764705882353,50.0,False,31898.0,3.0,74.9223256111145,,,,,,,,
task14_873ptrvr,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,11,5,0,0.6875,1.0,0.6875,,,0.9304085717832536,0.8850573038073039,68.75,False,43595.0,4.0,47.91504621505737,,,,,,,,
task1_gugmvs0p,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9041027869157718,1.0,100.0,True,48684.0,5.0,112.64216780662537,,,,,,,,
task3_symft30i,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9987586121283595,0.75,100.0,True,28786.0,4.0,33.330849170684814,,,,,,,,
task8_3774u86e,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,1,3,0,0.25,1.0,0.25,,,0.7091428216746323,0.35258595571095575,25.0,False,33364.0,3.0,129.6137969493866,,,,,,,,
task11_29v3n0dc,16111,16111,16111,1.0,8,8,6,0,6,2,2,0.75,5,1,2,0.8333333333333334,0.75,0.625,,,0.8916371837047152,0.8796703296703297,62.5,False,16669.0,3.0,31.620409727096558,,,,,,,,
task16_qww2ypbm,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,6,0,0,1.0,1.0,1.0,0.0,0.9999999999999999,0.9973154987275774,0.984375,100.0,True,17468.0,3.0,26.076499938964844,,,,,,,,
task12__3zbpaqf,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,5,1,0,0.8333333333333334,1.0,0.8333333333333334,,,0.9207270394968242,0.8321759259259259,83.33333333333334,False,103650.0,7.0,112.98284983634949,,,,,,,,
AGGREGATE,322220,321801,321801,0.9986996462044566,102,102,100,8,92,2,2,0.9803921568627451,69,31,2,0.69,0.9803921568627451,0.676470588235294,2.7682248943375414,0.9424072906804342,0.882774498301667,0.8032949511769845,,,,,,76.72916666666666,12.0,592597.0,29629.85,72.0,3.6,5317.40921330452,265.870460665226
