task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task1_2rwr9f94,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9988206815219415,1.0,100.0,True,18138.0,3.0,134.49137496948242,,,,,,,,
task6_1psvhxyd,16111,16111,16111,1.0,7,4516,7,0,7,0,4509,1.0,7,0,0,1.0,1.0,1.0,,,0.9989093520842015,0.874025974025974,100.0,True,115393.0,7.0,355.3439128398895,,,,,,,,
task16_zcup9uxv,16111,16111,16111,1.0,6,6,4,2,2,2,2,0.6666666666666666,4,0,2,1.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.9275029482961952,0.9041666666666667,66.66666666666666,False,70107.0,7.0,217.4040539264679,,,,,,,,
task3_ipswlii4,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.03711749736205077,0.5555555555555556,0.0,False,103434.0,9.0,250.34096693992615,,,,,,,,
task10_suzg5rp7,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,4,4,0,0.5,1.0,0.5,,,0.8464635963006641,0.7012553418803419,50.0,False,305795.0,7.0,426.32932233810425,,,,,,,,
task2_z_kln72l,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9985103345540314,0.8947368421052632,100.0,True,93976.0,8.0,258.68995094299316,,,,,,,,
task17_q81sa_0v,16111,15873,15873,0.9852274843274781,3,3,3,0,3,0,0,1.0,1,2,0,0.3333333333333333,1.0,0.3333333333333333,,,0.5838005838005839,0.4280112044817927,33.33333333333333,False,570925.0,17.0,966.1659846305847,,,,,,,,
task20_9yrf1y4s,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.7677983986096456,0.9,0.0,False,69140.0,7.0,447.60250329971313,,,,,,,,
task19_jy1wrub2,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,0.9999999999999999,,,100.0,True,18720.0,4.0,63.306907415390015,,,,,,,,
task4_uar5yq7z,16111,16111,16111,1.0,4,1401,4,0,4,0,1397,1.0,4,0,0,1.0,1.0,1.0,,,0.9882844019613928,0.8080357142857143,100.0,True,81584.0,9.0,197.66107416152954,,,,,,,,
task12_5oopey44,16111,16111,16111,1.0,6,5590,6,0,6,0,5584,1.0,6,0,0,1.0,1.0,1.0,,,0.9765274243270644,0.9699074074074074,100.0,True,38028.0,4.0,204.89030623435974,,,,,,,,
task15_qwm4n2n4,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,12456.0,3.0,47.16176414489746,,,,,,,,
task9_uvv1h3r1,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.9626031903668301,0.7065217391304348,100.0,True,58186.0,6.0,187.84353280067444,,,,,,,,
task13_p0uwkexu,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,1,9,0,0.1,1.0,0.1,,,0.6500837936813357,0.8784126984126983,10.0,False,47169.0,4.0,129.75460815429688,,,,,,,,
task7_8vpmv3mf,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,1,4,0,0.2,1.0,0.2,,,0.7103842095462728,0.35738095238095235,20.0,False,111548.0,6.0,379.00129437446594,,,,,,,,
task11_wqpb3oca,16111,16111,16111,1.0,8,8,6,0,6,2,2,0.75,5,1,2,0.8333333333333334,0.75,0.625,,,0.8912233877475018,0.8796703296703297,62.5,False,47967.0,5.0,129.4378604888916,,,,,,,,
task5_rbmovmtk,16111,16111,16111,1.0,5,2280,5,0,5,0,2275,1.0,5,0,0,1.0,1.0,1.0,,,0.9949972068772889,0.6163170163170164,100.0,True,14273.0,3.0,62.91029405593872,,,,,,,,
task18_zpmx3fjt,16111,16111,16111,1.0,8,8,8,2,6,0,0,1.0,0,8,0,0.0,1.0,0.0,0.7660619713539801,0.9986244237156545,0.43145469968758404,0.07521367521367521,0.0,False,81522.0,5.0,191.48122644424438,,,,,,,,
task8_fgeiqt6e,16111,16111,16111,1.0,4,58,4,0,4,0,54,1.0,0,4,0,0.0,1.0,0.0,,,0.6781857116255974,0.19092261904761904,0.0,False,164977.0,7.0,592.9144933223724,,,,,,,,
task14_yf0cxzm2,16111,16111,16111,1.0,16,4469,16,0,16,0,4453,1.0,10,6,0,0.625,1.0,0.625,,,0.9120282726087766,0.6699661449661449,62.5,False,96741.0,9.0,497.7130661010742,,,,,,,,
AGGREGATE,322220,321982,321982,0.999261374216374,102,18374,98,6,92,4,18276,0.9607843137254902,58,40,4,0.5918367346938775,0.9607843137254902,0.5686274509803921,0.25535399045132673,0.9995414745718848,0.8272223093706121,0.6838437805254651,,,,,,60.25,9.0,2120079.0,106003.95,130.0,6.5,5740.444497585297,287.02222487926485
