task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task16_we4lzxu5,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,6,0,0,1.0,1.0,1.0,0.29400474744635086,0.9999997665295899,0.998681025386382,0.9861111111111112,100.0,True,32168.0,4.0,44.95368504524231,,,,,,,,
task1_w7c1zwhp,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,17666.0,3.0,47.08047318458557,,,,,,,,
task8_1tm4xl9_,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.5544814102166222,0.25029761904761905,0.0,False,38515.0,3.0,186.6553180217743,,,,,,,,
task18__gj337yo,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,4,4,0,0.5,1.0,0.5,,,0.7276162249394823,0.5105882352941177,50.0,False,33956.0,3.0,26.347201108932495,,,,,,,,
task4_2izdgj_e,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,27364.0,4.0,105.64376091957092,,,,,,,,
task7_8odof4w0,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9842840295450314,0.6642857142857143,100.0,True,41251.0,3.0,204.21252918243408,,,,,,,,
task12_2754dktn,16111,16111,16111,1.0,6,5,5,0,5,1,0,0.8333333333333334,5,0,1,1.0,0.8333333333333334,0.8333333333333334,,,1.0,1.0,83.33333333333334,False,296561.0,12.0,363.6931209564209,,,,,,,,
task14_9c18iv13,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,10,6,0,0.625,1.0,0.625,,,0.9640152690708211,0.8742559523809524,62.5,False,65612.0,5.0,301.612998008728,,,,,,,,
task3_7gz6r7a5,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9987586121283595,0.75,100.0,True,14332.0,3.0,69.90314221382141,,,,,,,,
task19_4bj9y5mt,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,10158.0,3.0,36.066237926483154,,,,,,,,
task6_oxkmwqd1,16111,16111,16111,1.0,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,19094.0,3.0,108.7627899646759,,,,,,,,
task17_3drvtrxt,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,25446.0,4.0,150.28104376792908,,,,,,,,
task10_v9skfqf2,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,0.9987353361057663,1.0,100.0,True,23060.0,3.0,162.12768006324768,,,,,,,,
task13_omqu93z4,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,27825.0,3.0,334.81565403938293,,,,,,,,
task20_v03a_5w6,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,20889.0,3.0,101.79878211021423,,,,,,,,
task15_rh949zrz,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,12230.0,3.0,12.653457880020142,,,,,,,,
task2_fc62uem3,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,32520.0,4.0,186.48443698883057,,,,,,,,
task9_o6skzeio,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.8213022158773509,0.6765734265734266,0.0,False,18615.0,3.0,49.63069200515747,,,,,,,,
task5_958wfrpr,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,15256.0,3.0,81.60330319404602,,,,,,,,
task11_pgsw4bpc,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,16563.0,3.0,47.574421882629395,,,,,,,,
AGGREGATE,322220,322220,322220,1.0,102,101,101,4,97,1,0,0.9901960784313726,83,18,1,0.8217821782178217,0.9901960784313726,0.8137254901960784,0.14700237372317543,0.9999998832647949,0.9448772593739181,0.8741871991629421,,,,,,84.79166666666667,15.0,789081.0,39454.05,75.0,3.75,2621.9007284641266,131.09503642320632
