task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task5_f40j27c6,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,0,5,0,0.0,1.0,0.0,,,0.9949972068772889,0.6163170163170164,0.0,False,30790.0,4.0,82.26146411895752,,,,,,,,
task6__sl1aixd,16111,16111,16111,1.0,7,7,7,0,7,0,0,1.0,3,4,0,0.42857142857142855,1.0,0.42857142857142855,,,0.9997251212569939,0.9454545454545454,42.857142857142854,False,13564.0,3.0,18.95083498954773,,,,,,,,
task13_chi0k01m,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,0,10,0,0.0,1.0,0.0,,,0.7354478306746943,0.8535599208825753,0.0,False,22873.0,3.0,29.455681085586548,,,,,,,,
task20_bcqgx7y7,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.5912730432623673,0.3,0.0,False,115926.0,6.0,143.55958700180054,,,,,,,,
task3_j036z5v_,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9986965427347775,0.625,0.0,False,11576.0,3.0,49.38099813461304,,,,,,,,
task16_jdbxqmol,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,5,1,0,0.8333333333333334,1.0,0.8333333333333334,0.24757529392540242,0.999999777217278,0.9893861336974737,0.9722222222222222,83.33333333333334,False,24702.0,4.0,171.13162231445312,,,,,,,,
task12_7bxkp5ul,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,4,2,0,0.6666666666666666,1.0,0.6666666666666666,,,0.9225063621128422,0.8327886710239651,66.66666666666666,False,97493.0,7.0,161.50212717056274,,,,,,,,
task2_766yguk7,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9998137918192539,0.8947368421052632,0.0,False,14182.0,3.0,137.89668989181519,,,,,,,,
task11_yx2om95z,16111,16111,16111,1.0,8,8,6,0,6,2,2,0.75,0,6,2,0.0,0.75,0.0,,,0.8912130428485714,0.8685592185592186,0.0,False,1148215.0,22.0,551.2011890411377,,,,,,,,
task15_w0oh4lck,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,10800.0,3.0,25.109891653060913,,,,,,,,
task4_8e5yc2vq,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,13030.0,3.0,49.406388998031616,,,,,,,,
task18_a9li462l,16111,14586,14586,0.9053441747874124,8,8,8,0,8,0,0,1.0,2,6,0,0.25,1.0,0.25,,,0.6610105580693816,0.47033685268979386,25.0,False,117519.0,6.0,117.83538699150085,,,,,,,,
task7_312nvbrc,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,0,5,0,0.0,1.0,0.0,,,0.9852026565700452,0.700952380952381,0.0,False,100937.0,4.0,268.5402309894562,,,,,,,,
task17_1irjrpzv,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,60609.0,8.0,94.38703680038452,,,,,,,,
task19_qmnyzl6c,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,21734.0,5.0,53.17332482337952,,,,,,,,
task9__jelfjbl,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.6969617031841598,0.7361111111111112,0.0,False,16230.0,3.0,33.841718912124634,,,,,,,,
task1_ypg4_zxt,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9947241015455279,1.0,0.0,False,14969.0,3.0,44.95702815055847,,,,,,,,
task8_f63pqfan,16111,16111,16111,1.0,4,2,2,0,2,2,0,0.5,0,2,2,0.0,0.5,0.0,,,0.5349761032834709,0.14583333333333331,0.0,False,385749.0,10.0,370.21618914604187,,,,,,,,
task14_70vvj91a,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,2,14,0,0.125,1.0,0.125,,,0.8990014586307492,0.7125790875790876,12.5,False,78796.0,5.0,128.16335010528564,,,,,,,,
task10_fnm2_fff,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,3,5,0,0.375,1.0,0.375,,,0.9978042952020358,0.95,37.5,False,47624.0,6.0,74.18908596038818,,,,,,,,
AGGREGATE,322220,320695,320695,0.9952672087393706,102,100,98,4,94,4,2,0.9607843137254902,30,68,4,0.30612244897959184,0.9607843137254902,0.29411764705882354,0.12378764696270121,0.999999888608639,0.8850027989390403,0.7835841746355603,,,,,,33.392857142857146,4.0,2347318.0,117365.9,111.0,5.55,2605.1598262786865,130.25799131393433
