task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task11_isem5emc,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,80964.0,8.0,83.80845284461975,,,,,,,,
task7_3gdocvs8,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,0,5,0,0.0,1.0,0.0,,,0.7843833405747626,0.35333333333333333,0.0,False,171554.0,8.0,176.81314182281494,,,,,,,,
task5_gferfl10,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,0,5,0,0.0,1.0,0.0,,,0.9973682577121222,0.7069347319347319,0.0,False,85473.0,8.0,107.34296536445618,,,,,,,,
task16_7c2z88k8,16111,16111,16111,1.0,6,6,4,2,2,2,2,0.6666666666666666,2,2,2,0.5,0.6666666666666666,0.3333333333333333,0.24827214710454854,0.9999998855489443,0.9830550555521071,0.9375,33.33333333333333,False,184663.0,15.0,120.4919970035553,,,,,,,,
task2_sk2pirxz,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9998137918192539,0.8947368421052632,0.0,False,15032.0,3.0,24.101857900619507,,,,,,,,
task20_bmv9ares,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.3820371174973621,0.1,0.0,False,27835.0,4.0,47.99732494354248,,,,,,,,
task9_voyzhwtk,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.6242474086028179,0.5416666666666666,0.0,False,289313.0,15.0,151.33985781669617,,,,,,,,
task12_q84rmn12,16111,16111,16111,1.0,6,5,5,0,5,1,0,0.8333333333333334,4,1,1,0.8,0.8333333333333334,0.6666666666666667,,,0.9817143566507355,0.975,66.66666666666666,False,1387191.0,22.0,265.3441948890686,,,,,,,,
task8_yjye20q2,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.7680777108807647,0.593691724941725,0.0,False,338297.0,12.0,239.02461194992065,,,,,,,,
task4_5cb89mwq,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,3,1,0,0.75,1.0,0.75,,,0.993560300415865,1.0,75.0,False,27359.0,4.0,47.18726396560669,,,,,,,,
task19_0hf3x_18,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,0.9999999999999999,,,100.0,True,9900.0,3.0,17.497293949127197,,,,,,,,
task13_987w0h0j,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,0,10,0,0.0,1.0,0.0,,,0.6525913971820495,0.7241133805994486,0.0,False,48846.0,5.0,39.011470794677734,,,,,,,,
task3_6_08ftyy,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.8571162559741792,0.625,0.0,False,138505.0,12.0,167.897705078125,,,,,,,,
task6_66133rft,16111,16111,16111,1.0,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,100627.0,10.0,67.88572406768799,,,,,,,,
task10_1_ggplnk,16111,13224,13224,0.8208056607286947,8,8,8,0,8,0,0,1.0,2,6,0,0.25,1.0,0.25,,,0.9566035238959467,0.6899801587301587,25.0,False,89564.0,9.0,70.96850681304932,,,,,,,,
task17_askiw35x,16111,14105,14105,0.8754887964744584,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,26100.0,5.0,36.654218912124634,,,,,,,,
task14_8b9eat8p,16111,16111,16111,1.0,16,15,15,0,15,1,0,0.9375,0,15,1,0.0,0.9375,0.0,,,0.9219208408333851,0.7093092093092093,0.0,False,747628.0,22.0,390.6211521625519,,,,,,,,
task1_470epmol,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9947241015455279,1.0,0.0,False,54369.0,6.0,58.02524995803833,,,,,,,,
task15_eb4wiwaz,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,32165.0,7.0,23.889089107513428,,,,,,,,
task18_n2e_c084,16111,16111,16111,1.0,8,8,8,2,6,0,0,1.0,2,6,0,0.25,1.0,0.25,0.7660619713539801,0.9986244237156545,0.7339809240063725,0.6296296296296297,25.0,False,119403.0,8.0,5177.155915021896,,,,,,,,
AGGREGATE,322220,317327,317327,0.9848147228601577,102,100,98,6,92,4,2,0.9607843137254902,35,63,4,0.35714285714285715,0.9607843137254902,0.3431372549019608,0.33811137281950954,0.9995414364215329,0.880131664692973,0.7651184970449004,,,,,,36.25,5.0,3974788.0,198739.4,186.0,9.3,7313.057994365692,365.65289971828463
