task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task2_m1xl5fto,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9509651790702005,0.8,0.0,False,1436134.0,22.0,1033.9192600250244,,,,,,,,
task14_nbuag8r8,16111,16111,16111,1.0,16,6,6,0,6,10,0,0.375,0,6,10,0.0,0.375,0.0,,,0.9785964041131319,0.8756313131313131,0.0,False,484374.0,12.0,650.4816851615906,,,,,,,,
task11_a3m2i2vj,16111,16111,16111,1.0,8,8,6,0,6,2,2,0.75,0,6,2,0.0,0.75,0.0,,,0.8892682018496679,0.8186507936507935,0.0,False,244409.0,11.0,329.7646358013153,,,,,,,,
task19_l31b2g9_,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,30547.0,5.0,43.60674214363098,,,,,,,,
task5_cj6xl3tv,16111,11962,11962,0.7424740860281795,5,5,5,0,5,0,0,1.0,2,3,0,0.4,1.0,0.4,,,0.9974251797358301,0.8031468531468532,40.0,False,45448.0,5.0,104.08343887329102,,,,,,,,
task13_rj21pxpr,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,0,10,0,0.0,1.0,0.0,,,0.6783067469430824,0.7433068342793743,0.0,False,381331.0,14.0,343.45007610321045,,,,,,,,
task6_cevsv1g1,16111,15760,15760,0.9782136428527093,7,6,6,0,6,1,0,0.8571428571428571,5,1,1,0.8333333333333334,0.8571428571428571,0.7142857142857143,,,0.9990376480541455,0.9166666666666666,71.42857142857143,False,354793.0,13.0,320.4214551448822,,,,,,,,
task3_klq_aast,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9986965427347775,0.625,0.0,False,121314.0,9.0,476.808846950531,,,,,,,,
task17_leeoyuyo,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,48911.0,6.0,121.16177487373352,,,,,,,,
task8_cuv2q4x1,16111,16111,16111,1.0,4,232,4,0,4,0,228,1.0,0,4,0,0.0,1.0,0.0,,,0.6774253615542176,0.22083333333333333,0.0,False,175218.0,7.0,221.26414608955383,,,,,,,,
task1_ussrniug,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9947241015455279,1.0,0.0,False,72709.0,6.0,490.3501121997833,,,,,,,,
task18_c1j6c6gm,16111,14586,14586,0.9053441747874124,8,8,8,4,4,0,0,1.0,0,8,0,0.0,1.0,0.0,6.393551611236413,0.8689108198907417,0.4723536267653915,0.13333333333333333,0.0,False,50145.0,4.0,39.83251714706421,,,,,,,,
task12_i9zm5rot,16111,0,0,0.0,6,5,5,0,5,1,0,0.8333333333333334,0,5,1,0.0,0.8333333333333334,0.0,,,,0.0,0.0,False,561961.0,16.0,563.1439311504364,,,,,,,,
task16_4__cvc4o,16111,16111,16111,1.0,6,1992,5,2,3,1,1987,0.8333333333333334,0,5,1,0.0,0.8333333333333334,0.0,2.784508425116808,0.9999879767907673,0.9389237167152876,0.8232843137254902,0.0,False,178703.0,3.0,59.67314100265503,,,,,,,,
task7_mlkpjof0,16111,15760,15760,0.9782136428527093,5,5,5,0,5,0,0,1.0,0,5,0,0.0,1.0,0.0,,,0.6736421319796955,0.2585858585858586,0.0,False,1729730.0,22.0,1323.249589920044,,,,,,,,
task9_340c0298,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.5647383775060517,0.62,0.0,False,144413.0,9.0,203.00259804725647,,,,,,,,
task15_7uu4w04z,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,66168.0,7.0,87.82257914543152,,,,,,,,
task4_liktpulr,16111,11962,11962,0.7424740860281795,4,4,4,0,4,0,0,1.0,1,3,0,0.25,1.0,0.25,,,0.9579083765256646,0.8705357142857143,25.0,False,,,,,,,,,,,
task20__igz_8tx,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.3820371174973621,0.1,0.0,False,,,,,,,,,,,
task10_9xg8dhnj,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,2,6,0,0.25,1.0,0.25,,,0.9679023648438955,0.6936011904761905,25.0,False,269519.0,9.0,400.524747133255,,,,,,,,
AGGREGATE,322220,295584,295584,0.9173359816274596,102,2304,87,8,79,15,2217,0.8529411764705882,17,70,15,0.19540229885057472,0.8529411764705882,0.16666666666666666,3.892902911897408,0.9344524041430627,,0.6497455257081703,,,,,,23.071428571428573,3.0,6395827.0,355323.72222222225,180.0,10.0,6812.561276912689,378.4756264951494
