task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task6_u12qtbmz,16111,15930,15930,0.9887654397616535,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,118527.0,9.0,418.0680034160614,,,,,,,,
task5_qg9gcxfs,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,0.9942772019117372,0.5509090909090909,100.0,True,18637.0,3.0,82.59185338020325,,,,,,,,
task10_uix47d2d,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,0.9821084972999814,0.7881944444444444,100.0,True,68442.0,6.0,243.7568917274475,,,,,,,,
task18_2s6pebpw,16111,16111,16111,1.0,8,8,8,4,4,0,0,1.0,8,0,0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,100.0,True,46018.0,4.0,92.31497740745544,,,,,,,,
task15_9dtqdpl2,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,31731.0,6.0,111.38352537155151,,,,,,,,
task1_iqj3_8vx,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9947241015455279,1.0,100.0,True,26857.0,3.0,262.2882218360901,,,,,,,,
task13_521hxvz9,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,0,10,0,0.0,1.0,0.0,,,0.7773881199180683,0.5183823529411764,0.0,False,41927.0,4.0,73.09337043762207,,,,,,,,
task20__ejjhhtx,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.9352616224939483,0.8,0.0,False,54863.0,5.0,261.03627920150757,,,,,,,,
task12_5o5xvwdv,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,4,2,0,0.6666666666666666,1.0,0.6666666666666666,,,0.932189187511638,0.568545751633987,66.66666666666666,False,95454.0,8.0,448.6617600917816,,,,,,,,
task9_9u1id5ug,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,2,2,0,0.5,1.0,0.5,,,0.7004220718763577,0.6,50.0,False,305574.0,15.0,411.8256804943085,,,,,,,,
task17_g6en02bi,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,78824.0,9.0,223.47860479354858,,,,,,,,
task14_bj111juf,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,5,11,0,0.3125,1.0,0.3125,,,0.8980161070076346,0.5635416666666667,31.25,False,39249.0,4.0,153.5321261882782,,,,,,,,
task2_ni34s83r,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9986965427347775,0.8947368421052632,100.0,True,83599.0,7.0,215.3986620903015,,,,,,,,
task7_rkfqzr_0,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,2,3,0,0.4,1.0,0.4,,,0.8825274657066601,0.445952380952381,40.0,False,675105.0,12.0,835.765643119812,,,,,,,,
task11_pyvmgmb7,16111,16111,16111,1.0,8,8,6,0,6,2,2,0.75,6,0,2,1.0,0.75,0.75,,,1.0,1.0,75.0,False,14716.0,3.0,41.03782844543457,,,,,,,,
task16_6kua79xc,16111,16111,16111,1.0,6,6,5,2,3,1,1,0.8333333333333334,5,0,1,1.0,0.8333333333333334,0.8333333333333334,0.0,1.0,0.9993379264684584,1.0,83.33333333333334,False,100823.0,6.0,132.62094807624817,,,,,,,,
task4_p7sdi4en,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,99656.0,5.0,197.17159461975098,,,,,,,,
task19_wco2l0zm,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,17362.0,4.0,53.62869882583618,,,,,,,,
task8_7wifyjl4,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.7844640307864192,0.2894105894105894,0.0,False,77392.0,5.0,240.00047636032104,,,,,,,,
task3_jczmlw55,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,105333.0,10.0,203.2854287624359,,,,,,,,
AGGREGATE,322220,322039,322039,0.9994382719880827,102,102,99,8,91,3,3,0.9705882352941176,66,33,3,0.6666666666666666,0.9705882352941176,0.6470588235294117,0.0,1.0,0.9213451187878597,0.7159780969284932,,,,,,72.3125,11.0,2100089.0,105004.45,128.0,6.4,4700.940574645996,235.0470287322998
