task,gt_rows,pred_rows,joined_rows,join_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,correctness,completeness,output_yield,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
task19_abj1g2ot,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,10772.0,3.0,34.68237590789795,,,,,,,,
task14_5ktvcg7o,16111,16111,16111,1.0,16,16,16,0,16,0,0,1.0,16,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,101822.0,7.0,384.06023931503296,,,,,,,,
task18_xw67vxtn,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,4,4,0,0.5,1.0,0.5,,,0.7318990130966421,0.5306122448979592,50.0,False,145847.0,7.0,354.8251848220825,,,,,,,,
task6_m09_xh9p,16111,16111,16111,1.0,7,7,7,0,7,0,0,1.0,7,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,109999.0,7.0,285.5487790107727,,,,,,,,
task4_tjryv_75,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,36307.0,5.0,210.79548573493958,,,,,,,,
task7_zpum0kt9,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,4,1,0,0.8,1.0,0.8,,,0.9755819005648314,0.7,80.0,False,132856.0,6.0,691.4473872184753,,,,,,,,
task11_iz0avwx4,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,8,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,187331.0,13.0,378.5400695800781,,,,,,,,
task2_pm1oe7ju,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,17027.0,3.0,54.32076168060303,,,,,,,,
task1_8gwfxcol,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,32876.0,4.0,157.3148694038391,,,,,,,,
task17_dog5pzjr,16111,16111,16111,1.0,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,333427.0,6.0,259.12328362464905,,,,,,,,
task5_hmfyf7gh,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,5,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,153579.0,9.0,367.3954977989197,,,,,,,,
task9_c3xxgg9_,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.997206877288809,0.8315217391304348,100.0,True,98689.0,8.0,198.93695664405823,,,,,,,,
task20_vjk78o_4,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,37149.0,4.0,200.04977869987488,,,,,,,,
task3_aq0v9t35,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,21205.0,4.0,62.0284481048584,,,,,,,,
task8_k0pm0vak,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,4,0,0,1.0,1.0,1.0,,,0.989851654149339,0.8839285714285714,100.0,True,457876.0,15.0,1455.4634246826172,,,,,,,,
task16_955v_pcl,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,6,0,0,1.0,1.0,1.0,0.0,1.0,0.9991465458382471,1.0,100.0,True,,,,,,,,,,,
task12_1zbhf0a0,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,6,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,684725.0,10.0,654.1025884151459,,,,,,,,
task13_6njqulr9,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,78837.0,6.0,153.74581050872803,,,,,,,,
task10_48dbzfl7,16111,16111,16111,1.0,8,8,8,0,8,0,0,1.0,7,1,0,0.875,1.0,0.875,,,0.9821472906709702,0.7270833333333333,87.5,False,184499.0,6.0,254.54375863075256,,,,,,,,
task15_2fif9lsn,16111,16111,16111,1.0,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,67831.0,5.0,139.81788682937622,,,,,,,,
AGGREGATE,322220,322220,322220,1.0,102,102,102,4,98,0,0,1.0,96,6,0,0.9411764705882353,1.0,0.9411764705882353,0.0,1.0,0.9748479616537821,0.9124833251845548,,,,,,95.875,17.0,2892654.0,152244.94736842104,128.0,6.7368421052631575,6296.742586612701,331.40750455856323
