sample,gt_rows,pred_rows,joined_rows,row_completeness,gt_cols,pred_cols,matched_cols,matched_numeric_cols,matched_categorical_cols,unmatched_gt_cols,unmatched_pred_cols,col_match_rate,true_positives,false_positives,false_negatives,precision,recall,f1_score,avg_numeric_rmse,avg_numeric_corr,avg_categorical_exact_match,avg_categorical_overlap,task_completion_percentage,task_complete,token_usage,steps,time_taken,avg_task_completion_percentage,number_task_complete,total_token_usage,avg_token_usage,total_steps,avg_steps,total_time_taken,avg_time_taken
sample16_cucfhofz,16111,16111,16111,1.0,6,6,6,2,4,0,0,1.0,0,6,0,0.0,1.0,0.0,0.9128480330533757,0.9999986714361883,0.7843709266960461,0.8245904282765738,0.0,False,79526.0,6.0,100.05062627792358,,,,,,,,
sample12_zvh1qk07,16111,16111,16111,1.0,6,6,6,0,6,0,0,1.0,6,0,0,1.0,1.0,1.0,,,0.9915482175739143,0.9629629629629629,100.0,True,327974.0,12.0,358.38974809646606,,,,,,,,
sample8_5634vwvg,16111,9408,9408,0.5839488548196884,4,4,4,0,4,0,0,1.0,1,3,0,0.25,1.0,0.4,,,0.8748139880952381,0.6864583333333334,25.0,False,448613.0,10.0,1563.1120619773865,,,,,,,,
sample7_10yzarwx,16111,16111,16111,1.0,5,5,5,0,5,0,0,1.0,0,5,0,0.0,1.0,0.0,,,0.6881261250077587,0.3904761904761905,0.0,False,78350.0,4.0,133.76978182792664,,,,,,,,
sample18_7irreibt,16111,16111,16111,1.0,8,8,8,4,4,0,0,1.0,8,0,0,1.0,1.0,1.0,0.0,1.0,0.9914344236856806,0.96875,100.0,True,275365.0,9.0,529.4088869094849,,,,,,,,
sample15_x3deca40,16111,9408,9408,0.5839488548196884,2,2,2,0,2,0,0,1.0,2,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,43915.0,6.0,44.16317796707153,,,,,,,,
sample4_msawtgws,16111,16111,16111,1.0,4,1,0,0,0,4,1,0.0,0,0,4,,0.0,,,,,,0.0,False,120614.0,8.0,133.11305499076843,,,,,,,,
sample14_dendo4ci,16111,16111,16111,1.0,16,3,2,0,2,14,1,0.125,0,2,14,0.0,0.125,0.0,,,0.5349761032834709,0.1125,0.0,False,640493.0,14.0,416.5463409423828,,,,,,,,
sample11_v8gl3jcm,16111,16111,16111,1.0,8,8,6,0,6,2,2,0.75,3,3,2,0.5,0.75,0.6,,,0.8654335547141705,0.923076923076923,37.5,False,207267.0,10.0,156.50156211853027,,,,,,,,
sample10_2_z4_178,16111,16111,16111,1.0,8,6,6,0,6,2,0,0.75,5,1,2,0.8333333333333334,0.75,0.7894736842105262,,,0.9654583824716032,0.6867724867724867,62.5,False,108549.0,6.0,141.0185329914093,,,,,,,,
sample13_ewgqk1pt,16111,16111,16111,1.0,10,10,10,0,10,0,0,1.0,10,0,0,1.0,1.0,1.0,,,0.9967413568369438,0.9177777777777777,100.0,True,102932.0,6.0,105.63174700737,,,,,,,,
sample6__36tmj8c,16111,16111,16111,1.0,7,4510,7,0,7,0,4503,1.0,7,0,0,1.0,1.0,1.0,,,0.9929152220754232,0.9250463821892393,100.0,True,155032.0,9.0,134.93422317504883,,,,,,,,
sample9_qv709pwp,16111,16111,16111,1.0,4,4,4,0,4,0,0,1.0,0,4,0,0.0,1.0,0.0,,,0.89454410030414,0.72,0.0,False,215711.0,11.0,130.27349305152893,,,,,,,,
sample19_536tack5,16111,16111,16111,1.0,2,2,2,2,0,0,0,1.0,2,0,0,1.0,1.0,1.0,0.0,1.0,,,100.0,True,74122.0,7.0,96.3808262348175,,,,,,,,
sample20_yybpefj4,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,0,1,0,0.0,1.0,0.0,,,0.763825957420396,0.6363636363636364,0.0,False,420000.0,14.0,259.77038741111755,,,,,,,,
sample5_wzv6hc1z,16111,16111,16111,1.0,5,6,5,0,5,0,1,1.0,5,0,0,1.0,1.0,1.0,,,0.9948606542114083,0.5772727272727273,100.0,True,81009.0,6.0,94.02503895759583,,,,,,,,
sample1_rllzfd_p,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,0.9862826640183725,1.0,100.0,True,24909.0,4.0,42.82892417907715,,,,,,,,
sample3_7tdwk38_,16111,16111,16111,1.0,1,1,1,0,1,0,0,1.0,1,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,45549.0,6.0,39.43248701095581,,,,,,,,
sample2_rdp206kc,16111,16111,16111,1.0,1,6,1,0,1,0,5,1.0,1,0,0,1.0,1.0,1.0,,,0.9770343243746509,1.0,100.0,True,104567.0,7.0,102.28293585777283,,,,,,,,
sample17_0n81_i8n,16111,15873,15873,0.9852274843274781,3,3,3,0,3,0,0,1.0,3,0,0,1.0,1.0,1.0,,,1.0,1.0,100.0,True,107710.0,9.0,81.68237519264221,,,,,,,,
AGGREGATE,322220,308576,308576,0.9576562596983427,102,4593,80,8,72,22,4513,0.88125,55,25,22,0.6875,0.7843137254901961,0.7327227310574521,0.30428267768445855,0.999999557145396,0.9056870000427344,0.7962248804723251,,,,,,61.25,11.0,3662207.0,183110.35,164.0,8.2,4663.316212177277,233.16581060886384
